Age,Revenu,Genre,IMC,Achats,Score_Credit,Nombre_Enfants,Statut_Marital,Ville,Depenses_Mensuelles,Epargne,Temps_Travail,Satisfaction_Client,Anciennete_Client,Score_Sante
24,100431.0,femme,22.0,8,772,2,marié,kaolack,64808.0,12375.0,37,3,14,31
54,98691.0,femme,31.6,32,411,2,divorcé,kaolack,15943.0,21513.0,45,1,17,18
33,73606.0,femme,21.1,31,591,5,divorcé,dakar,90105.0,4403.0,53,1,10,55
19,117665.0,femme,18.9,16,682,2,marié,thiès,52616.0,4897.0,47,4,3,4
75,39574.0,femme,18.7,26,792,5,marié,thiès,35287.0,36078.0,51,4,10,27
29,149502.0,homme,39.9,5,630,5,marié,saint-louis,43971.0,17379.0,10,1,9,89
65,20000.0,homme,20.4,34,785,4,célibataire,dakar,90000.0,47759.0,32,2,12,86
73,17050.0,homme,30.3,36,705,3,célibataire,kaolack,52351.0,30030.0,37,3,7,93
24,124996.0,homme,25.9,33,416,5,célibataire,saint-louis,70040.0,29870.0,57,2,12,71
41,48933.0,homme,19.0,19,414,1,célibataire,saint-louis,98559.0,29482.0,13,5,8,99
68,39951.0,homme,16.7,24,848,2,divorcé,kaolack,70616.0,31058.0,50,2,0,28
17,47413.0,femme,30.9,3,846,3,divorcé,dakar,33897.0,26871.0,27,3,0,76
35,127573.0,femme,35.4,9,635,0,célibataire,saint-louis,33010.0,26379.0,58,5,14,58
43,137744.0,homme,36.2,9,635,4,marié,dakar,50154.0,2251.0,56,4,3,24
62,104431.0,homme,27.6,23,446,3,marié,dakar,30114.0,43860.0,48,2,19,21
75,58001.0,femme,34.7,20,421,5,marié,dakar,29050.0,23674.0,34,4,0,96
59,139988.0,femme,33.4,26,674,2,divorcé,dakar,60396.0,31432.0,15,1,10,22
76,60028.0,homme,27.8,15,362,2,marié,saint-louis,54846.0,40426.0,28,1,18,69
23,146878.0,femme,31.2,25,803,3,marié,kaolack,30396.0,49584.0,21,3,14,78
62,139343.0,homme,35.3,29,748,2,célibataire,kaolack,98116.0,22127.0,34,1,9,78
50,143301.0,homme,25.5,48,727,5,marié,saint-louis,48973.0,38015.0,44,5,0,39
29,141295.0,femme,35.3,15,726,3,divorcé,kaolack,33574.0,7715.0,10,5,2,97
32,49636.0,femme,30.2,6,720,2,marié,saint-louis,23869.0,3817.0,14,2,13,13
51,39262.0,homme,20.0,15,621,0,marié,thiès,76194.0,29493.0,10,4,14,28
65,95435.0,femme,16.6,34,465,0,divorcé,saint-louis,72167.0,17454.0,17,5,0,15
19,56844.0,homme,29.1,39,758,2,divorcé,saint-louis,22122.0,24690.0,56,4,0,86
17,79754.0,femme,36.2,11,488,2,célibataire,thiès,53827.0,42750.0,52,1,14,9
77,92129.0,homme,19.1,34,763,3,marié,dakar,23335.0,33762.0,27,2,2,46
21,55042.0,homme,35.2,48,678,3,célibataire,dakar,73576.0,37499.0,55,4,19,3
69,76665.0,femme,36.7,20,301,2,célibataire,dakar,31677.0,22452.0,18,3,11,11
57,131953.0,homme,19.6,49,663,1,célibataire,kaolack,,7670.0,14,3,18,41
19,133533.0,homme,,42,371,2,marié,thiès,39814.0,21151.0,13,5,15,97
69,88781.0,femme,39.8,35,726,5,célibataire,saint-louis,93611.0,17341.0,53,4,7,3
44,81262.0,femme,33.4,47,469,3,célibataire,saint-louis,53185.0,29604.0,38,3,13,83
78,61600.0,,34.8,16,504,2,marié,saint-louis,86794.0,8287.0,10,5,17,91
33,91898.0,homme,39.9,31,636,3,divorcé,saint-louis,85675.0,18538.0,39,2,0,91
41,45448.0,homme,30.5,40,771,2,divorcé,kaolack,52325.0,17015.0,54,2,1,5
59,41172.0,femme,23.4,5,494,4,divorcé,kaolack,50503.0,44644.0,10,4,11,13
49,22657.0,homme,36.1,23,574,3,marié,thiès,29514.0,49849.0,12,4,16,34
25,127855.0,femme,30.7,26,306,1,marié,saint-louis,66196.0,49183.0,31,4,1,46
77,22906.0,femme,29.9,19,477,4,divorcé,dakar,30917.0,15852.0,17,4,16,57
51,76413.0,homme,22.1,24,541,5,célibataire,kaolack,64699.0,46258.0,27,3,6,64
29,69028.0,femme,34.2,1,502,2,divorcé,thiès,60119.0,21258.0,34,3,5,18
46,22287.0,homme,18.0,8,842,5,marié,thiès,93324.0,38330.0,57,5,5,56
63,48660.0,homme,38.2,27,761,3,,kaolack,35061.0,41508.0,29,3,7,64
23,117979.0,homme,19.1,2,822,5,marié,dakar,91080.0,6192.0,39,5,14,7
29,49701.0,femme,26.6,19,716,1,célibataire,saint-louis,95550.0,27410.0,25,3,6,17
38,98300.0,homme,17.0,5,683,3,divorcé,kaolack,90331.0,9895.0,11,4,2,34
75,98560.0,homme,32.4,38,690,4,marié,dakar,42632.0,6406.0,26,3,9,86
72,58642.0,homme,37.7,32,425,5,marié,kaolack,29352.0,33924.0,19,1,2,25
77,80160.0,femme,36.1,0,793,4,marié,thiès,33653.0,47086.0,16,5,13,37
55,32602.0,homme,19.1,36,346,4,marié,thiès,77115.0,41303.0,51,3,2,83
36,118320.0,femme,19.0,5,775,5,célibataire,thiès,53755.0,5295.0,18,3,0,65
31,103801.0,homme,35.5,44,763,0,marié,kaolack,81988.0,12264.0,26,2,0,25
60,40931.0,homme,38.2,33,422,2,marié,saint-louis,47921.0,28038.0,18,4,18,56
33,109377.0,femme,27.1,46,773,3,célibataire,saint-louis,69003.0,38922.0,18,4,3,99
62,44192.0,femme,28.0,14,433,3,marié,dakar,90876.0,9136.0,46,2,1,24
68,61542.0,femme,23.6,44,322,3,célibataire,kaolack,56668.0,13213.0,33,2,10,29
39,142015.0,femme,,25,534,4,célibataire,saint-louis,65175.0,12072.0,48,1,11,81
41,57520.0,femme,31.5,13,358,5,marié,kaolack,57738.0,43010.0,20,5,12,6
40,79772.0,homme,22.9,6,463,2,divorcé,saint-louis,63452.0,36053.0,17,4,15,26
75,65106.0,homme,23.2,45,515,1,marié,thiès,78323.0,27431.0,34,2,15,10
75,96121.0,femme,37.4,30,482,3,divorcé,thiès,56149.0,42290.0,55,2,18,7
75,40559.0,homme,16.3,23,389,5,célibataire,dakar,25839.0,2003.0,11,5,19,10
56,48742.0,homme,29.3,28,556,2,marié,saint-louis,17019.0,31279.0,33,1,8,29
44,84669.0,femme,19.6,41,832,0,marié,dakar,64512.0,42747.0,57,5,15,93
30,85831.0,homme,18.2,31,832,5,divorcé,dakar,71690.0,10438.0,25,1,6,14
60,127217.0,homme,35.6,16,351,3,marié,thiès,96150.0,14227.0,28,3,12,55
16,56873.0,homme,37.5,13,637,4,divorcé,kaolack,36190.0,3672.0,40,4,3,34
40,121532.0,femme,35.8,39,470,2,célibataire,thiès,20928.0,7458.0,20,2,12,38
22,141267.0,homme,37.6,35,366,2,divorcé,thiès,58425.0,18539.0,15,5,7,23
24,149092.0,homme,29.3,47,599,1,divorcé,dakar,84134.0,3479.0,15,1,1,7
39,56755.0,femme,35.5,23,531,0,divorcé,thiès,96117.0,14887.0,41,4,6,42
16,100956.0,femme,25.2,44,367,2,divorcé,saint-louis,58974.0,51.0,48,4,10,41
59,101988.0,homme,32.0,26,805,2,célibataire,dakar,57796.0,2159.0,57,2,16,83
23,60648.0,homme,39.7,24,327,4,célibataire,thiès,58743.0,4390.0,22,4,13,40
39,140991.0,femme,21.4,31,350,4,célibataire,kaolack,89455.0,20035.0,12,2,12,46
78,130005.0,femme,25.4,17,559,1,divorcé,saint-louis,80035.0,28491.0,50,3,14,25
26,17396.0,femme,27.5,45,483,5,célibataire,kaolack,47677.0,16080.0,44,2,8,51
66,99082.0,femme,19.3,17,322,1,marié,saint-louis,66321.0,34880.0,47,1,2,87
32,143322.0,femme,17.9,36,428,1,célibataire,kaolack,68973.0,45520.0,26,4,12,21
50,26303.0,femme,39.4,8,800,5,marié,saint-louis,35602.0,22149.0,43,4,8,14
50,86719.0,homme,25.7,34,485,4,divorcé,dakar,39692.0,15339.0,21,2,17,35
48,114616.0,femme,18.1,7,778,0,marié,dakar,58750.0,29305.0,33,5,4,62
74,139165.0,femme,17.6,19,791,3,divorcé,kaolack,,1354.0,15,2,10,92
20,101231.0,homme,37.4,41,812,3,divorcé,kaolack,78456.0,5620.0,51,1,1,78
57,22314.0,femme,27.1,21,366,0,marié,kaolack,34085.0,3754.0,20,2,16,90
54,34623.0,femme,23.7,18,766,3,célibataire,saint-louis,73964.0,16593.0,57,4,19,48
73,120228.0,homme,27.4,29,584,5,marié,dakar,32925.0,16167.0,36,3,3,54
56,112624.0,femme,23.6,27,716,4,marié,thiès,15615.0,22555.0,57,1,17,71
43,126785.0,homme,27.7,34,399,3,marié,saint-louis,47083.0,33005.0,33,3,19,59
22,101206.0,homme,36.6,42,488,5,marié,kaolack,78319.0,41295.0,27,1,7,56
24,84274.0,homme,30.2,10,687,4,marié,dakar,19605.0,40843.0,36,1,18,28
23,148541.0,homme,32.7,30,540,5,divorcé,kaolack,54608.0,8691.0,50,4,11,18
27,68947.0,femme,24.8,48,716,0,divorcé,thiès,29192.0,9756.0,30,2,10,94
49,63874.0,homme,33.7,47,475,1,célibataire,thiès,13331.0,36308.0,43,4,15,72
48,64708.0,homme,32.0,38,686,0,célibataire,dakar,61330.0,9327.0,42,4,4,9
63,89553.0,femme,18.9,35,770,3,marié,saint-louis,59949.0,28520.0,57,4,2,9
70,83344.0,homme,29.7,29,532,4,célibataire,thiès,78382.0,43308.0,27,3,11,96
38,64138.0,homme,22.2,22,751,5,célibataire,thiès,47586.0,40025.0,12,1,14,88
77,62638.0,homme,35.3,18,576,3,marié,thiès,62243.0,28900.0,33,5,15,56
39,93249.0,homme,26.2,11,528,3,divorcé,thiès,68618.0,16533.0,10,2,12,53
52,120865.0,femme,39.9,14,470,1,divorcé,kaolack,88311.0,31881.0,15,4,6,55
50,17719.0,homme,18.2,30,512,3,célibataire,kaolack,17549.0,27782.0,28,1,14,67
59,57534.0,femme,34.7,42,581,1,divorcé,saint-louis,62494.0,44488.0,31,2,2,68
55,107241.0,femme,32.2,36,340,4,divorcé,dakar,97973.0,1624.0,52,5,11,86
37,141209.0,homme,34.4,36,421,4,célibataire,dakar,33958.0,40429.0,17,5,7,54
42,107124.0,homme,23.4,14,526,5,marié,dakar,,20812.0,14,4,11,68
50,106659.0,homme,27.8,28,593,1,célibataire,thiès,47538.0,7529.0,18,5,17,71
16,90713.0,homme,35.1,49,566,0,célibataire,kaolack,15833.0,20653.0,56,5,2,80
50,90418.0,femme,21.6,42,840,4,célibataire,kaolack,33386.0,27860.0,30,2,11,0
62,46575.0,femme,29.2,43,748,0,marié,dakar,34832.0,2108.0,55,4,13,34
29,78852.0,homme,28.6,1,360,4,marié,kaolack,87857.0,3947.0,13,1,13,77
18,147079.0,femme,22.8,19,801,4,marié,saint-louis,48930.0,7899.0,33,4,3,81
16,91242.0,homme,23.2,14,446,5,célibataire,dakar,42407.0,13372.0,17,3,16,73
20,44257.0,homme,22.7,3,633,5,divorcé,thiès,14073.0,37682.0,26,5,14,78
41,76246.0,homme,34.5,21,441,2,célibataire,kaolack,27667.0,30373.0,43,1,15,32
70,16435.0,homme,31.6,49,343,3,marié,kaolack,26035.0,39435.0,29,2,4,82
78,106357.0,homme,36.0,37,443,3,divorcé,dakar,16732.0,2263.0,25,3,16,97
29,98807.0,femme,39.4,22,632,0,célibataire,thiès,65097.0,26188.0,19,3,6,24
54,130953.0,femme,27.4,25,796,3,divorcé,thiès,13487.0,36583.0,43,5,14,15
42,138797.0,homme,17.6,10,695,0,marié,kaolack,67702.0,29295.0,52,2,16,7
24,78888.0,femme,17.2,27,354,4,divorcé,dakar,95107.0,577.0,19,1,11,34
30,88609.0,homme,23.1,1,606,2,divorcé,saint-louis,39075.0,15029.0,39,2,10,84
30,24077.0,homme,38.4,7,722,2,marié,kaolack,81031.0,49574.0,39,5,18,82
41,35953.0,homme,28.6,28,716,4,divorcé,thiès,94217.0,35531.0,34,3,10,45
57,129682.0,femme,22.5,10,624,5,célibataire,saint-louis,24781.0,30066.0,55,5,1,10
75,82889.0,homme,25.6,36,379,1,divorcé,dakar,49865.0,17613.0,52,4,14,60
28,130374.0,homme,30.4,17,330,1,célibataire,thiès,18469.0,48413.0,50,3,4,43
66,39860.0,femme,31.7,49,411,3,divorcé,saint-louis,55167.0,19560.0,16,5,17,10
78,92475.0,femme,19.7,13,771,5,divorcé,kaolack,91738.0,8945.0,56,1,15,10
47,102266.0,femme,39.4,9,373,0,marié,thiès,29928.0,29418.0,29,1,3,21
54,115732.0,homme,29.1,34,778,2,marié,dakar,86521.0,17071.0,26,1,9,84
64,42083.0,homme,19.3,8,686,3,célibataire,thiès,49599.0,49874.0,12,4,1,90
67,72372.0,femme,37.4,34,732,4,marié,kaolack,26775.0,46622.0,56,2,14,81
76,138786.0,homme,17.8,10,711,5,marié,dakar,76504.0,17130.0,55,1,3,61
47,22813.0,femme,37.8,43,766,2,marié,kaolack,85918.0,20721.0,49,4,15,47
19,46598.0,femme,,11,547,0,marié,saint-louis,,2712.0,45,1,6,93
45,108106.0,homme,32.8,2,419,0,marié,thiès,36804.0,17091.0,35,4,11,62
52,42082.0,homme,,38,366,1,célibataire,kaolack,42259.0,15857.0,19,1,2,50
38,44241.0,femme,24.1,13,626,3,célibataire,saint-louis,96284.0,41394.0,43,2,16,44
54,26745.0,femme,38.6,27,769,4,marié,dakar,95227.0,45836.0,23,5,8,32
60,41029.0,femme,28.7,10,792,2,marié,dakar,53560.0,49635.0,17,1,7,84
30,138395.0,femme,33.6,38,585,0,célibataire,saint-louis,37256.0,47487.0,36,5,5,59
58,104186.0,homme,38.2,24,611,2,divorcé,saint-louis,16125.0,34301.0,19,1,14,1
44,112768.0,femme,39.4,20,608,4,célibataire,dakar,14370.0,16553.0,59,2,9,12
51,56846.0,femme,36.0,9,396,2,divorcé,kaolack,14838.0,17404.0,24,5,5,65
28,90932.0,femme,23.3,42,412,3,marié,saint-louis,67429.0,7093.0,46,4,14,56
47,38411.0,homme,39.2,14,755,1,marié,kaolack,13134.0,13156.0,31,1,13,42
22,93797.0,homme,31.1,18,762,2,célibataire,dakar,53199.0,49999.0,54,1,18,44
74,67307.0,femme,38.3,47,431,5,marié,kaolack,87092.0,13785.0,59,4,12,30
66,149165.0,homme,32.2,21,420,1,divorcé,kaolack,43822.0,48359.0,40,2,13,9
37,37042.0,homme,23.4,20,496,4,divorcé,saint-louis,30113.0,25271.0,11,3,2,22
43,67930.0,homme,24.9,43,781,1,célibataire,kaolack,73594.0,14694.0,54,1,3,85
17,112883.0,femme,29.2,31,338,2,divorcé,kaolack,12669.0,36114.0,40,4,13,28
57,48756.0,femme,35.0,49,811,2,célibataire,kaolack,59427.0,4013.0,23,3,13,96
60,68268.0,homme,23.6,22,773,5,célibataire,dakar,91617.0,32799.0,19,1,7,30
77,63901.0,femme,29.9,12,460,0,divorcé,dakar,22938.0,24752.0,39,5,9,77
72,114986.0,femme,24.3,4,588,5,divorcé,thiès,15717.0,11156.0,45,4,8,73
68,143386.0,homme,,3,499,2,divorcé,dakar,87818.0,10304.0,56,5,13,17
21,20626.0,homme,27.2,27,827,1,divorcé,dakar,57659.0,40645.0,49,2,7,10
43,27857.0,femme,17.8,13,802,5,divorcé,thiès,74575.0,38938.0,24,3,10,46
43,148052.0,homme,20.0,7,547,5,divorcé,thiès,89737.0,12078.0,23,4,9,2
59,41431.0,femme,17.5,8,682,0,divorcé,saint-louis,26289.0,26078.0,40,1,17,1
59,99976.0,femme,28.0,34,517,2,marié,saint-louis,34406.0,2315.0,38,1,3,53
35,97711.0,homme,18.6,36,386,2,célibataire,dakar,22873.0,27220.0,36,3,3,71
45,41385.0,femme,18.7,20,381,4,célibataire,kaolack,92048.0,31731.0,30,5,11,30
77,33639.0,femme,38.6,17,361,0,divorcé,saint-louis,33461.0,32833.0,18,5,17,7
26,100530.0,homme,36.9,32,799,4,célibataire,saint-louis,30710.0,12420.0,29,4,7,42
79,36563.0,homme,26.9,7,341,4,divorcé,dakar,95488.0,18312.0,44,4,2,47
73,130672.0,homme,39.7,48,311,4,marié,kaolack,23448.0,21395.0,24,5,17,1
70,97970.0,femme,16.0,16,414,3,célibataire,thiès,25198.0,40301.0,33,4,6,21
43,100553.0,homme,,42,517,4,célibataire,thiès,83158.0,46972.0,58,5,0,4
40,97879.0,homme,30.8,30,405,5,marié,dakar,77938.0,15317.0,25,3,12,6
54,59859.0,homme,27.0,33,827,1,marié,dakar,60799.0,48225.0,45,4,2,19
77,67098.0,homme,25.5,5,771,5,marié,kaolack,44961.0,16968.0,20,5,2,91
48,137413.0,femme,26.9,21,686,5,célibataire,dakar,53007.0,22854.0,17,4,14,76
16,15526.0,femme,26.0,13,525,2,célibataire,dakar,75470.0,5244.0,12,1,18,1
72,83760.0,homme,33.5,2,780,3,marié,dakar,62256.0,30929.0,28,1,3,31
42,62837.0,femme,19.2,11,707,4,marié,kaolack,30739.0,40922.0,55,2,12,89
77,26536.0,homme,20.7,35,756,2,marié,dakar,94054.0,24054.0,50,5,12,2
72,43541.0,homme,20.3,11,320,0,marié,saint-louis,68186.0,18588.0,12,2,14,40
67,94083.0,femme,22.3,44,502,0,marié,kaolack,36547.0,44590.0,45,5,18,41
28,49531.0,femme,28.6,1,716,2,divorcé,saint-louis,95823.0,34660.0,34,4,15,76
56,23712.0,homme,18.7,1,715,1,marié,kaolack,61431.0,7018.0,45,5,6,84
18,119101.0,homme,36.8,14,747,2,divorcé,saint-louis,35476.0,10621.0,20,1,2,44
54,80455.0,femme,23.1,22,811,2,célibataire,kaolack,88411.0,973.0,25,4,19,86
21,89744.0,homme,19.9,28,384,3,célibataire,thiès,20686.0,43602.0,26,1,1,70
23,144749.0,femme,32.2,16,466,0,divorcé,dakar,27536.0,39383.0,51,4,17,16
42,20109.0,homme,16.9,31,683,0,marié,dakar,44062.0,37097.0,33,5,10,91
24,64268.0,homme,30.9,6,767,4,célibataire,kaolack,58216.0,34245.0,26,5,0,46
77,69615.0,femme,32.8,29,371,5,marié,saint-louis,35041.0,25346.0,57,1,15,93
52,97503.0,femme,21.2,27,820,2,marié,thiès,41653.0,40097.0,29,3,16,68
48,100708.0,femme,17.0,13,772,2,divorcé,saint-louis,31673.0,6444.0,31,5,15,23
66,117471.0,femme,24.7,43,557,1,célibataire,dakar,20367.0,24881.0,15,3,9,70
57,98309.0,femme,18.4,29,574,0,célibataire,dakar,29629.0,49153.0,16,4,16,33
59,141446.0,femme,18.8,16,319,1,divorcé,saint-louis,98636.0,24846.0,23,3,2,49
39,121661.0,femme,22.1,31,789,3,marié,kaolack,82190.0,11406.0,20,1,17,41
30,21154.0,homme,23.1,45,789,4,marié,kaolack,35063.0,39611.0,21,2,18,32
74,79288.0,homme,28.7,5,625,1,célibataire,saint-louis,29322.0,25439.0,55,2,13,26
69,66195.0,homme,32.3,23,828,0,divorcé,dakar,94546.0,5972.0,14,1,1,77
47,35581.0,femme,30.2,5,388,3,divorcé,saint-louis,22693.0,48063.0,14,2,11,58
47,45087.0,femme,19.6,26,785,2,marié,dakar,19241.0,37873.0,29,1,10,18
39,84298.0,femme,20.1,17,649,3,marié,saint-louis,,10931.0,24,5,16,75
56,61167.0,homme,37.1,23,383,5,divorcé,kaolack,22651.0,7702.0,35,3,5,2
67,54499.0,femme,29.4,36,686,1,célibataire,thiès,35966.0,19298.0,42,2,18,70
64,140816.0,femme,36.9,23,386,0,marié,dakar,19275.0,21540.0,39,5,12,98
77,111347.0,homme,24.9,37,606,1,divorcé,thiès,55606.0,32040.0,33,2,6,24
64,63787.0,femme,30.7,33,453,2,divorcé,kaolack,11658.0,46904.0,32,4,10,14
73,50488.0,homme,28.6,39,739,2,divorcé,saint-louis,82468.0,31000.0,18,1,6,82
67,89441.0,homme,23.7,46,563,0,célibataire,kaolack,24248.0,29805.0,12,1,12,59
27,37431.0,femme,27.3,14,720,5,marié,thiès,34437.0,2599.0,45,5,12,82
77,76681.0,femme,28.1,10,792,4,marié,kaolack,49727.0,22100.0,57,4,0,22
54,137720.0,femme,20.8,21,710,3,marié,kaolack,28201.0,30509.0,16,3,18,10
17,64153.0,homme,23.6,23,472,3,célibataire,saint-louis,51150.0,35003.0,31,4,18,58
18,21368.0,homme,35.0,0,303,2,marié,thiès,99891.0,19183.0,23,4,14,84
64,127360.0,homme,38.0,17,771,1,marié,thiès,24999.0,38241.0,57,3,13,33
52,127755.0,femme,24.6,43,409,1,marié,thiès,16376.0,18.0,38,3,2,6
64,71985.0,femme,23.4,11,336,5,marié,dakar,61673.0,858.0,59,4,19,43
71,65069.0,femme,20.7,42,330,4,célibataire,kaolack,13476.0,25992.0,25,2,3,90
32,67326.0,femme,32.3,27,680,1,divorcé,thiès,79902.0,32580.0,57,2,6,63
74,123737.0,homme,23.8,39,567,3,divorcé,kaolack,87994.0,5380.0,43,4,0,22
64,65861.0,homme,39.7,6,310,1,marié,saint-louis,72878.0,35800.0,19,2,18,57
17,90897.0,homme,23.8,22,643,4,marié,saint-louis,30615.0,18915.0,16,3,2,19
43,83577.0,femme,30.5,33,465,1,célibataire,dakar,49316.0,37487.0,36,2,14,59
69,24078.0,femme,35.2,10,641,3,marié,saint-louis,78560.0,12943.0,24,3,12,7
38,77768.0,femme,27.3,21,781,2,célibataire,thiès,39559.0,37631.0,41,1,13,66
52,66047.0,homme,26.1,41,318,2,marié,saint-louis,,36806.0,37,3,6,1
47,86626.0,homme,39.9,34,483,5,marié,kaolack,76800.0,18836.0,18,4,0,21
48,72660.0,femme,16.3,28,844,2,divorcé,dakar,19047.0,35614.0,16,5,12,69
16,147997.0,femme,37.5,41,309,1,marié,dakar,54985.0,40832.0,25,2,3,35
34,132832.0,homme,19.6,27,491,4,célibataire,saint-louis,82123.0,11394.0,35,2,11,23
77,145406.0,femme,34.9,17,619,3,divorcé,thiès,16577.0,6622.0,44,3,6,11
17,140150.0,homme,30.8,13,774,0,célibataire,thiès,,45063.0,26,3,1,80
68,48320.0,homme,24.2,17,726,2,divorcé,kaolack,13870.0,25280.0,32,5,16,21
59,79881.0,homme,37.0,27,358,2,célibataire,dakar,44094.0,11782.0,17,5,0,82
